t,nu,eta,a,w1,w2,ref,err,err_core,err_grad,self_check
0.36024295408602547,1.0253557750902242,0.46726305938589957,0.33108928768810242,0.004063937166371454,0.022227186403266298,8.6141493745017522e-08,3.8780291187097439e-14,3.8165726046631022e-14,5.5679702630562414e-14,1.849389698126285e-51
1.7949160443405889,-2.9527280500818538,0.19723639556541273,0.61861271959613751,0.25356306482733931,0.46530533762677628,7.8099773358016537e-13,5.6257892783527783e-15,5.6257892783527783e-15,nan,nan
0.015487098759959276,5.7939890136025838,0.03863364275609428,1.1053774070089812,1.081208641041104e-05,0.021380023337342405,1.7080881509393748,1.0197147325239658e-14,3.4524313011949418e-15,nan,nan
0.74027001122627289,-1.2500712496497108,0.31257177342455444,0.6091755732517955,0.15060939663999773,0.99999914990369976,0.00026399272255587516,7.6789934975655509e-16,5.6255236859952183e-16,nan,nan
0.19642687659076827,5.8657213703447741,2.9969498102309564,0.35502234660039556,1.1440668598773856e-05,0.92852922255664239,0.0010061818642585136,3.0998074516995848e-16,3.0998074516995848e-16,nan,nan
0.57879019055750491,-2.3920765156360275,1.1293258229168066,1.9280676833715222,0.00015425321311917159,0.00072827416764582507,0.00022577776162030819,1.0465645977125756e-16,2.2470838214667887e-16,2.5998334671329241e-16,nan
0.013015011040555226,-1.0820517389431394,0.00016125143827864876,0.35603376410257009,0.23227407644640033,0.94085126068108771,12.385414284508371,1.3088991566874003e-16,1.2533372288781978e-17,nan,nan
0.019633820015026525,6.1736772378999341,0.00046950260399484823,1.0433656040148762,0.22749407299763255,0.22876219483206425,1.2905023396089448,1.5622959717032731e-16,1.5622959717032731e-16,nan,nan
1.1007457842753692,9.3046890121516199,0.17589947214827445,1.1672315315383035,1.6888775850856672e-05,0.99994043727445003,1.0699162996948882e-23,2.3271370594351864e-12,4.1614422428942522e-14,nan,nan
0.34068139949535026,-0.2567414865601787,0.0092559664473047011,2.0467238487154411,0.026650799548792084,0.99998784070461011,0.40743332409613037,1.2016478541901017e-16,1.2016478541901017e-16,nan,nan
0.044842474294493929,5.8081965969328095,0.10083446635023804,0.37225316030359606,1.0757851892957163e-05,0.004035291276630183,0.014070973182554104,1.971897314622134e-16,3.2047356218741185e-16,2.5520024532143538e-15,0
6.9932554852014563,4.6095808950499784,0.045126594875025218,1.4875557019265577,0.48236954234079893,0.55666990650577342,1.096804534994763e-40,1.1348407293363023e-14,1.1162489239490345e-14,nan,nan
52.277243421419421,-6.5578296665105036,0.0015867600374460885,4.6139783182271321,3.6106801698618568e-06,0.99999437284057302,0,1,1,nan,nan
0.050652182075419779,0.52556553509448278,0.0026125033021485661,1.8507584139418605,0.0037934289568061978,0.99975101930924459,0.8253509072316626,2.8291342429243961e-16,1.3882878642712719e-17,nan,nan
0.0019534388732704235,9.4159086096816615,0,0.42702018313070528,0.00087534575987799226,0.99995445139631489,11.927530035950578,2.5846407300370822e-16,5.5632236119014104e-16,nan,nan
2.3667797905647552,7.4755104823023366,0.092656398977624815,1.2632528036729349,0.19646323360753365,0.99999761183702252,1.5374406569642509e-33,4.7346338877558614e-15,4.9571555710104988e-15,4.7079805413674205e-15,nan
0.0020988380491591013,6.1312683910356895,0.017477078748075459,0.42921542461752932,0.27676473239189381,0.27719227556954745,7.8910394737097187,3.3821658750784539e-16,2.2566127427449559e-16,nan,nan
4.4868000582820278,-2.5810011697406754,0.030848398692589471,1.8723426731902426,0.088180970965217112,0.15645028834834984,3.8250193054944768e-10,2.07904309960187e-15,1.9438835509682168e-15,nan,nan
10.760448304538224,0.80945311169039869,0.0066264725905598159,2.1844946567353865,0.30677273645889352,0.58383459031506413,1.2443680555171615e-07,2.6013161246684374e-16,4.7414968991967634e-17,nan,nan
0.451294276426981,8.5637378597216767,0.126575429984539,0.35667852781507386,0.37486838754070229,0.99999855219962985,5.4239303762055527e-15,1.3722190174565596e-15,9.358965443575155e-16,nan,nan
0.42729136294401127,-3.767626764039953,0,2.0691086949015949,0.12831863974434837,0.94406719044547183,1.1874028808581305,6.8088634310138099e-16,4.9388611891078379e-16,1.3492013867093942e-15,0
0.19478060416326609,-9.1811085381393767,0.0070213514247765294,0.9596428753368319,0.017389654551042869,0.024157387015186015,3.0169112336494228e-05,2.0404514524619718e-15,1.9281467962550759e-15,nan,nan
0.0035403031808002618,9.2680882684253483,0,0.39151671510155217,0.10142716804619288,0.99988615750108378,6.1322949242759073,2.3740966154143461e-16,9.2573441061546334e-17,nan,nan
0.016300158695689741,0.57784283767787592,0.019488044452320955,0.24032834614910545,0.33059655921796693,0.99999926145551077,8.7687386492971626,1.5428365749795155e-16,3.5686203398344872e-16,nan,nan
0.12485465185479556,-5.9860930202955327,0.078655319494254014,2.3755471813152167,0.41357565810329677,0.43903479105846183,6.8988719760537016,5.6562399515448599e-17,3.1463837712980803e-15,nan,nan
0.0011149453133229444,6.5876761963559893,0.003822383413825378,0.31133897313804093,0.44713884259752695,0.97921697283690845,0.0045035320521426628,3.0737951074668472e-16,1.6185793321036411e-15,3.3134779705348442e-16,nan
2.4931746914031128,8.7595587660187988,0.11885078712891617,1.3335170534637109,0.00052940893682260103,0.92333574354812109,3.1805051598423393e-45,1.1280199150334828e-14,1.14758603728486e-14,nan,nan
1.9746555120496596,-2.4700092424553493,0.15442845904908814,5.5751511635048434,0.34350177270702709,0.34435224708990675,0.032379173099849494,3.3930639914458063e-16,5.5360754520873021e-16,nan,nan
0.059173683688399363,1.1867352606691135,0.00064692044971165858,0.6179482906253887,0.0003533644544298702,0.99393199602499804,1.7165586703019642,4.4945805804099596e-17,4.4945805804099596e-17,nan,nan
0.05309571110562112,8.7800484912406667,0.028479939388124507,2.128840614549278,0.0083085056045292,0.0097898305783591395,0.068259595965961622,1.6602906097806234e-16,1.6602906097806234e-16,nan,nan
0.21022351962578431,3.9310804847439975,0.13771113565520335,0.6085063803043621,0.38448592840678192,0.99925657217749286,0.017375798839132345,4.8834688712000348e-15,2.4874142317045465e-15,4.6149913918127221e-15,0
0.0065903513543883671,-7.5141249128478682,0,0.21717232143345933,0.35346121286107368,0.35430775623000038,54.125502342799088,6.3923044371569064e-17,6.3923044371569064e-17,nan,nan
0.20966946812621007,8.1712999003917552,0.0031692802914520652,0.4126173637654153,0.22154261510292481,0.94666910231624279,5.6936581827444187e-06,4.8494863803552766e-16,4.8494863803552766e-16,nan,nan
0.15336261070725579,-8.4840427738009794,0.028284353070966873,0.55645662097537285,0.1152453275901125,0.11925035356176936,0.0022174421663847524,4.0317651834360579e-16,2.0759943607802348e-16,nan,nan
0.14647372303256523,0.83669409026236252,0.00056097905502105333,3.2128595303226808,0.24233254575297303,0.99991876757258924,0.023595271101096361,1.0246493477133965e-15,5.9278985474257609e-16,nan,nan
0.75336931086741699,-1.0002689793173776,0.88242823826647865,0.99319900016552609,0.0011205481013376376,0.92238383198558271,0.046528516178867059,2.0365218814020723e-15,8.4346532619495341e-16,1.000985243594282e-14,nan
0.0080178015878297326,3.4180998492111208,0.00093072644412980823,0.21019228168153314,0.00013995437822423616,0.9967355651950901,12.825865814053248,2.8008666304794475e-16,2.8008666304794475e-16,nan,nan
0.0085130193924713229,9.9949666636938268,0.00094966134771132867,0.56403634895859955,0.0033718049882200674,0.10090161507436006,6.1822399941496231,1.2013179466605192e-15,2.206980771750516e-15,nan,nan
6.5946906904484557,-5.3250606825971154,0.00015994190842826884,3.3871821444214327,1.6536939865697739e-05,0.00017994054200617238,1.2291495566361991e-46,3.775944576420226e-13,3.775944576420226e-13,nan,nan
2.4905458778800798,-2.308741801404115,0.0022785074127459775,1.3392440564671544,0.039978717450803523,0.99983455179440917,9.3982728580749919e-06,1.759728794185832e-15,1.9399816895944877e-15,nan,nan
0.0033499241442955957,-5.977921718215919,0.035341531963341243,0.26570332964015458,0.19103686009968682,0.9993367657879535,36.152501732071997,2.1307759616025866e-16,1.8000321524580559e-16,3.7149720021496133e-16,0
0.079183384474360102,-9.4233192474804746,0.010877746750702119,0.24400892456147069,0.090795601516940924,0.10006950999883048,0.000814661639360255,1.9663436636956235e-17,1.9663436636956235e-17,nan,nan
0.021167895960982688,1.508032056746595,0.58868021900122613,0.7345314563840124,0.34739968963433981,0.35256947548485473,4.6810967110743267,1.651109301607319e-16,2.4626320428198025e-17,nan,nan
0.046982855599732885,8.6333636836235712,0.00019228914377860315,1.2173471944628493,0.23889205002503061,0.48287970609044473,0.016325419229463154,4.5978549315429282e-16,6.0280496874703491e-16,nan,nan
6.0415246157222668,0.57596036875092693,0,3.1491055289771031,0.48709694713686452,0.96513706149711276,0.0011975677826446987,6.9370648647061594e-15,2.048246197179657e-15,nan,nan
0.70606425210130042,5.7706508197530244,0.0001152673488462424,1.8808143522418959,0.00017762058160857746,0.001843606176330365,9.8714917028167757e-09,3.5108999282043456e-16,3.5108999282043456e-16,4.7069834160226982e-16,nan
0.013488480151391048,8.8014164631863743,0.0093600305069349975,0.8174654517997878,0.4418052289816522,0.99998894437396679,0.001130154881157866,1.0469369600762276e-16,4.8842947968170392e-16,nan,nan
93.867277477262917,-3.5070517621613657,0.025095829144009176,5.0355448186249729,0.25838284551109347,0.31293434738074277,2.641712846170721e-244,3.927399206370048e-14,3.9027792020262434e-14,nan,nan
0.070114542176126379,-9.0134182056920249,0.037455454152328455,0.53565476144154789,0.42681628189011617,0.43766512939152291,1.530722138411724,1.8093134661603457e-14,1.6932664844891067e-14,nan,nan
