"w9","err9"
0.120384664955065,7.26650837123877e-10
0.000172980115981146,8.41204743147588e-10
0.0136520660213918,4.16931599887715e-10
1.11209648618095,9.98784134611311e-10
1.1389866739686,9.71345454123151e-10
8.46741796716242e-05,1.01203658957986e-10
0.25534298579631,9.91743957322222e-10
0.0120445054647074,9.11031513757617e-10
1.07884361862464e-07,1.07643085145444e-10
0.38961985709355,8.77808610054331e-10
0.613482877405446,9.00652091501042e-10
0.000390201048269994,4.65348199101985e-10
0.000147658549463962,1.65497653497669e-10
1.10570471937362e-07,1.01513435590633e-10
0.00244523431514686,1.17680126026404e-10
2.43007202463534e-05,2.1232823865412e-10
6.11540553768983e-05,4.27553901903021e-10
0.0570825680166223,7.05687680566014e-10
0.0315884523736591,7.24307332827007e-10
0.000234590421181643,1.91604803319103e-10
0.00379092032012705,6.51131302921337e-10
8.67807117476708e-06,1.0146447234561e-10
0.0929069526298753,4.52166524240916e-10
0.124182269393201,9.48566821844143e-10
1.1079073735392,9.9639479737407e-10
0.117325160410517,1.85134767291439e-10
0.0221656359390113,4.0810086773525e-10
0.0801216369752408,9.95024692540053e-10
0.0733663842949229,8.57080670724109e-10
0.315292402687909,8.6319378594647e-10
0.000157278546498797,1.44822636203232e-10
0.335202591483327,8.70988965378972e-10
0.000391326022423792,1.64926957744644e-10
0.0789920828814981,9.17763056923382e-10
1.43759226092018e-07,1.02181156066374e-10
0.00487896489835027,1.96880830614821e-10
0.0252097615539679,9.99424060403498e-10
0.0407329948328477,8.48320649586812e-10
0.37561776754128,9.19349449399098e-10
0.0235848077067024,9.65360087182544e-10
0.0310297056547714,8.55070905106292e-10
0.0661123440569953,8.18798628257522e-10
4.87973721821812e-05,2.92023676541292e-10
0.031541159839412,5.81558565593177e-10
0.142497334344757,2.91316032460698e-10
0.0459931589334904,1.22733051552315e-10
0.0197120139315194,2.0208596858477e-10
0.142264659955774,9.49332893022837e-10
4.5915950562474e-05,6.67908678503559e-10
0.0169380099786024,3.68864409902481e-10
0.0118781338393697,9.25492201287845e-10
0.00408346235280034,9.26211763935159e-10
0.0179038546225207,5.80304884840216e-10
0.320205925109581,4.61479068899939e-10
0.219912065628323,4.58762752145081e-10
1.12636321639379e-05,1.12099271014917e-10
0.00178091706277326,7.9138694389851e-10
2.05386737850817e-07,1.00265208543464e-10
0.0105738932887201,5.47134158691742e-10
0.00321128049681394,1.16977579064825e-10
0.0544848741835654,9.13166740540328e-10
0.0683524519951775,1.66782648855401e-10
0.0380889037276685,9.63501206410829e-10
2.35896595988128e-06,1.01180026084001e-10
7.90714437085296e-07,1.00163113614603e-10
0.530104082780526,8.79018302990431e-10
1.19744916997589,9.91327536224634e-10
0.000170944603160755,1.37488028713185e-10
0.417810020313779,8.58107816106746e-10
0.000458275062872359,1.57061124000748e-10
2.53724691808803e-07,1.00047147689153e-10
0.000424574247198305,3.46695189883711e-10
0.00049597992678733,5.74663662460581e-10
0.217973494558448,8.81154367753001e-10
4.84378676622775e-05,8.98746766177258e-10
0.0563211380936186,9.09745808599827e-10
0.0192879282227483,4.13485179655182e-10
0.00303493918397023,6.21518604777033e-10
0.248553290954069,9.60099151622773e-10
0.0452219043727735,7.756641704464e-10
1.25025876125359,8.86839843280873e-10
0.110339666717861,1.79021053589479e-10
0.104497568115068,1.73910683129341e-10
0.000808060103279691,9.25204408386356e-10
0.00131520258234386,3.44717036131797e-10
0.0406241766830188,2.8768657461532e-10
0.0850200453390214,8.50055136056194e-10
0.00597616642692603,9.11626232584753e-10
1.1811721296978e-07,1.0002834470368e-10
0.104669237644113,7.06480559349476e-10
0.0557195375734736,8.87135373374326e-10
0.0570072891691252,4.23086850675947e-10
1.62186066408455,9.92591785330713e-10
0.0228029143441947,5.67323057855296e-10
1.26680885606205e-06,1.78387561763113e-10
0.491370093525769,8.94520064323345e-10
9.99770493282317e-06,1.75808306285974e-10
0.161170608708182,7.28419668299157e-10
0.0482476567786371,1.77514810542523e-10
0.0943427729053722,9.59709495650354e-10
1.05532403855178e-09,1.00146145276217e-10
0.0308913213041057,5.77612532856497e-10
0.154057243905757,3.11315950848778e-10
0.146071846049196,7.09919413585569e-10
0.010127676112266,7.06944716274177e-10
0.478966979143166,7.48961398508341e-10
0.0496325117255448,6.96217128619181e-10
0.0427016330619256,7.00046584468827e-10
9.59322491747014e-08,1.01186142835379e-10
0.915706153140416,9.64245983805967e-10
3.81072446424821e-07,1.05791831764745e-10
2.58993375716416,9.98965697455206e-10
0.0159648853749741,8.70130035372858e-10
0.00712872140919773,2.40257170894859e-10
0.00415129291920102,1.678815198496e-10
0.156422711282763,2.04964148484044e-10
0.00931863558541659,1.65679772384697e-10
0.0164815567588586,2.909845276718e-10
0.178503766350637,1.62111704668411e-10
0.00418519383445816,8.71373329658742e-10
0.37722379626072,4.16289244794987e-10
0.107022607566778,4.86520947193159e-10
0.000177358349649037,1.01179171967318e-10
0.0250098154086682,9.93692350212392e-10
0.000220763128284466,3.22599594569632e-10
1.67352173001653,9.9253283674508e-10
0.377582288350407,9.74656499412157e-10
4.7296919153143e-05,1.00382194391424e-10
3.01305983702125e-06,1.61154983731061e-10
0.112950718430337,2.62272521808671e-10
0.000385438417850142,2.63296457952877e-10
0.00145275171746756,1.14314147740377e-10
0.104411833587714,9.03207092416741e-10
4.32151413641073e-07,1.05919006607682e-10
0.24924669854258,4.77379474891804e-10
0.0177445400592284,9.3777393355966e-10
0.180372104129444,4.99111722837464e-10
0.00524425040913222,1.67905367960586e-10
0.0284484883432482,5.59646406006375e-10
0.00906633891885814,4.48133833392994e-10
0.004080792300914,1.18317284321279e-10
0.00363859589936619,1.37493405515704e-10
0.000289922655255759,6.79487548299105e-10
3.19327837649105e-06,1.03679281500288e-10
0.0562134149910637,7.09165558274061e-10
0.00936334965806452,6.16292320527911e-10
0.10036083835707,1.17473307523108e-10
0.0986576991084907,9.3211822328455e-10
4.77545468113866e-05,1.18572889862352e-10
0.00850092345939611,9.80067726159728e-10
3.66915339184276e-05,6.80760877675344e-10
3.18183797604925e-07,1.00279596075461e-10
0.18169636082201,9.32897272852462e-10
5.407104355945e-07,1.08295849149809e-10
0.0543709533788071,5.88983568913692e-10
0.000105234960655748,1.3440504849875e-10
0.500309249877102,8.77104125840311e-10
0.490690077346875,7.29326271650577e-10
0.0714179573528256,1.42559067381376e-10
0.00403072565654599,1.36173584093413e-10
0.0378718813752337,9.57058066877636e-10
0.0832104566293332,6.30780617374882e-10
0.125811924886835,3.24255579384103e-10
0.181458433480218,7.3989755681726e-10
0.0122430777190065,3.36080043534981e-10
2.21720181724118e-08,1.00004952332706e-10
1.03191375521127,9.66527180738708e-10
0.281604188413967,9.9555827490042e-10
0.00154217659515502,4.28943511969035e-10
0.0373444057420999,9.22981236978104e-10
0.108729009027895,5.46675980925182e-10
4.21849796743415e-10,1.00023063785193e-10
0.4414752390023,3.12433307056337e-10
0.0458601259884613,2.46661550959326e-10
3.18908778353896e-09,1.00000651131039e-10
0.00443611916671216,3.07440342897894e-10
0.0126929358593111,9.65054907480539e-10
6.92268356255726e-10,1.00049385035019e-10
0.15111060256631,9.87275982529185e-10
0.208027640621158,4.42091771576847e-10
4.62806968091488e-07,1.00365143226496e-10
1.08206503998977,9.77294588537414e-10
0.126518379445046,8.79481104662416e-10
0.0190814532629226,8.03908258070651e-10
0.00253476560513809,1.90770059003875e-10
0.0648892067139508,9.90574683443113e-10
0.3157762309152,1.52643250869622e-10
0.0180819298920451,8.8286362006734e-10
0.00105973770206323,2.72457315030135e-10
0.0222622563809605,1.58683061882059e-10
0.00834293857372721,7.46962083948946e-10
0.346323045111793,8.50588341480452e-10
0.000205821936974534,1.01638682109928e-10
1.65464260823782e-12,1.00000013409407e-10
0.67751376115355,8.97198262264542e-10
0.000928618422096171,1.95044300446427e-10
0.000137949070438629,1.62240567761567e-10
0.0234535474651852,1.57260526181713e-10
0.140315802928044,9.40782582445243e-10
0.00122515110911705,9.03560127834481e-10
