"t","a","v","w","sv","sw","st0","wienr","rtd3"
0.845722502702847,0.6,-1,0.7,0.5,0.05,0.25,0.0421269430943387,0.0421246001550069
2.73217337726383,0.6,0,0.7,0.5,0.05,0.25,1.65008332287803e-13,1.64998178010773e-13
1.48557993655559,1.5,-3,0.7,2,0.2,0.25,0.0544762698835393,0.0544954392129695
1.31681623563636,1.5,-0.2,0.5,0.5,0.05,0.1,0.176981291509244,0.176991263746646
2.1261969905463,0.6,-1,0.3,2,0.05,0.25,2.77636063868815e-10,2.77616107523573e-10
2.13296245941892,1.5,4,0.3,1,0.05,0.1,4.39218315231936e-05,4.39255645419827e-05
0.717668660508934,2.5,1.5,0.3,2,0.4,0.1,0.297839102943313,0.297985900511596
1.21907272652024,2.5,-3,0.5,2,0.4,0.25,0.296040319735246,0.296031108901741
2.0539492610842,1.5,0,0.3,2,0.4,0.25,0.0118462599619328,0.0118484257075157
2.21138885947876,2.5,4,0.5,1,0.2,0.25,9.62783907645284e-05,9.62844747210187e-05
1.86044689776609,1.5,-3,0.7,0.5,0.05,0.1,0.00277063276938932,0.00277081979861148
1.83982054676162,1.5,-0.2,0.7,1,0.4,0.25,0.041451876318141,0.0414651587826609
1.92540429269429,1,1.5,0.7,2,0.2,0.25,0.000480093083415385,0.000480211394223974
1.99388583528344,2.5,-0.2,0.5,0.5,0.05,0.25,0.166404096335086,0.166413168554526
2.91036248855526,0.6,-3,0.3,1,0.4,0.1,1.02006699653393e-16,1.02011871349446e-16
2.79764064528281,2.5,-3,0.5,2,0.4,0.25,0.016192079005932,0.0161942940747646
0.67877500251634,1.5,-1,0.5,0.5,0.05,0.1,1.1861928634101,1.18627236140448
2.42588065871969,0.6,-0.2,0.3,0.5,0.05,0.1,2.710019185854e-12,2.70984004973303e-12
2.9975903798826,1.5,0,0.7,2,0.05,0.1,0.00120839365220128,0.00120847759080887
1.17521103357431,1,-0.2,0.3,1,0.4,0.1,0.0322430091188496,0.0322492527095529
1.02319554978749,1.5,4,0.7,2,0.4,0.1,0.0168980285470925,0.0169013297066026
0.395223182917107,1,4,0.5,0.5,0.2,0.1,0.108685079243739,0.10839286088364
0.730495597887784,2.5,-0.2,0.5,0.5,0.4,0.25,0.361145000300704,0.36105059619589
0.625476689112838,0.6,-3,0.7,2,0.4,0.1,0.137379957407047,0.137403864891306
1.048810772039,0.6,-1,0.3,1,0.05,0.1,0.000371750766647363,0.000371718645887173
2.68388485794421,2.5,4,0.5,2,0.4,0.25,0.00348306640142255,0.00348378479349212
2.11920811877353,0.6,1.5,0.7,2,0.2,0.1,5.86689954087594e-11,5.86762868564267e-11
3.03493574726163,2.5,-3,0.5,2,0.4,0.1,0.0109180822510052,0.0109197895105768
2.00325243409025,1,0.5,0.3,1,0.2,0.25,0.000614354180734388,0.000614501235415032
2.57932906904025,2.5,-0.2,0.5,0.5,0.05,0.25,0.0961929741933053,0.0961981126841315
1.46855707885698,1.5,1.5,0.5,1,0.05,0.1,0.030644176510344,0.0306457459195804
1.45117888185196,2.5,0.5,0.3,1,0.2,0.1,0.121717052470519,0.121749540616472
0.852357396506704,1,1.5,0.7,1,0.2,0.1,0.069822808355279,0.0698332404429572
1.68725660468917,0.6,-0.2,0.5,2,0.05,0.25,1.7999926732882e-07,1.79987065704252e-07
1.1123211833532,1.5,1.5,0.3,2,0.4,0.25,0.0976573415444864,0.0976775610281217
1.34198455936275,2.5,-1,0.3,0.5,0.4,0.1,0.261812112781773,0.261825304486174
2.97426995228743,1.5,1.5,0.7,1,0.4,0.25,0.000716409824555622,0.000716565656947008
0.945741581532639,0.6,0,0.3,0.5,0.2,0.1,0.00199800598728454,0.00199825577081385
2.05859882617369,0.6,-1,0.3,0.5,0.05,0.25,1.14430327681913e-09,1.14420825096081e-09
0.962514488189481,2.5,-1,0.7,0.5,0.2,0.25,0.482695518933,0.48270112795396
1.18033293744083,0.6,0.5,0.3,1,0.05,0.25,0.000246061766475065,0.000246046277528155
2.66952955204761,1,0.5,0.7,1,0.05,0.1,1.33665254945734e-05,1.33671508445651e-05
0.860407080559526,1,4,0.5,1,0.4,0.25,0.00862484951366175,0.00862539487236019
2.03370517872972,2.5,-1,0.7,1,0.4,0.1,0.142524200564762,0.142583637127892
