"t","a","v","w","sv","sw","wienr","dv","dsv","da","dw","dsw"
0.545722502702847,0.6,-1,0.7,0.5,0.05,0.004328512233696,0.000479670088866154,-0.00101258887029878,0.0964498303843637,-0.00736261392992364,-0.000218606787549189
2.43217337726383,0.6,0,0.7,0.5,0.05,1.87028784378648e-14,-4.88168556141241e-15,-1.35067360238562e-14,2.0170061187051e-12,-4.19593826463318e-14,-7.78916938497208e-16
1.18557993655559,1.5,-3,0.7,2,0.2,0.0343065098701545,0.0149900938911718,-0.00105105679733589,0.102984967494518,-0.0173116185267258,-0.00787260927520912
1.01681623563636,1.5,-0.2,0.5,0.5,0.05,0.15706514979918,-0.0684733447932878,-0.048719391845843,0.281891233045946,0.0702018954032757,-0.00603777269282624
1.8261969905463,0.6,-1,0.3,2,0.05,3.03414906381174e-11,6.01327088872845e-12,-1.09604355472095e-11,2.43255981250688e-09,7.30156676808407e-11,-1.15264990615115e-12
1.83296245941892,1.5,4,0.3,1,0.05,3.73144169728853e-05,-0.000102500451452124,0.000257421832219982,0.000136240645229556,1.52527844228999e-05,-2.19962898866455e-06
0.417668660508934,2.5,1.5,0.3,2,0.4,0.258544963923387,-0.135002267105254,0.065551082024441,-0.00282825773324313,0.182493760445383,-0.154549385455473
0.919072726520244,2.5,-3,0.5,2,0.4,0.202776462379078,0.0614069962471584,-0.0411093367532042,0.123108967805662,0.54292164467512,0.010101073184977
1.7539492610842,1.5,0,0.3,2,0.4,0.0085359343606188,-0.000535709060851601,-0.00366137392954838,0.0331954570042852,0.0221056203638843,-0.00210786703697016
1.91138885947876,2.5,4,0.5,1,0.2,7.98532324696378e-05,-0.000243424033137892,0.000689818626850347,-4.33067426472406e-06,-0.000194037269797801,-2.38049261566601e-06
1.56044689776609,1.5,-3,0.7,0.5,0.05,0.00212712875860462,0.00555603580437333,0.00606252179045075,0.0103641492286915,0.00260908244460329,-0.000116972613250438
1.53982054676162,1.5,-0.2,0.7,1,0.4,0.0297494312885633,-0.00829259468650258,-0.0156009850898227,0.104117904302676,-0.051209995726464,-0.0124237978969617
1.62540429269429,1,1.5,0.7,2,0.2,0.000232688687857679,-9.71189130801858e-05,-1.97379288653719e-05,0.00329516853893274,-0.000493713947521557,-3.95197746333764e-05
1.69388583528344,2.5,-0.2,0.5,0.5,0.05,0.147527199196425,-0.0944745423474891,-0.0574788304591739,0.0663031467429946,0.0990975162936864,-0.00514599937311067
2.61036248855526,0.6,-3,0.3,1,0.4,4.60324884285117e-17,9.72662238319102e-17,1.72254760126818e-16,5.35091317055993e-15,1.24625092952454e-16,-1.11968406026782e-17
2.49764064528281,2.5,-3,0.5,2,0.4,0.0137391961121988,0.00773350297525007,0.00247922002755666,0.0161656649096864,0.0219356999591049,-0.00238182045818113
0.37877500251634,1.5,-1,0.5,0.5,0.05,1.02967016726227,-0.349346251178513,-0.118673834008595,0.289716867635427,0.600759284651289,-0.042027508493887
