"t","a","v","w","sv","sw","wienr","err","p3","p4","p5","p6","p8"
0.545722502702847,0.6,-1,0.7,0.5,0.05,0.004328512233696,1e-13,0.00432885367872966,0.00432873075489559,0.00432853357308953,0.00432851493141011,0.00432851227829091
2.43217337726383,0.6,0,0.7,0.5,0.05,1.87028784378648e-14,1e-13,1.87040950547944e-14,1.87036570602346e-14,1.8702954473252e-14,1.87028880502155e-14,1.8702878596762e-14
1.18557993655559,1.5,-3,0.7,2,0.2,0.0343065098701545,1.00006938893904e-13,0.0343188836896153,0.0343080071076114,0.034306697338168,0.0343065340468908,0.0343065102725361
1.01681623563636,1.5,-0.2,0.5,0.5,0.05,0.15706514979918,1e-13,0.157074581523012,0.157071186037483,0.157065739265402,0.157065224319233,0.157065151031042
1.8261969905463,0.6,-1,0.3,2,0.05,3.03414906381174e-11,1.00000000000013e-13,3.03432910979961e-11,3.03426429167269e-11,3.03416031628658e-11,3.03415048634409e-11,3.03414908732731e-11
1.83296245941892,1.5,4,0.3,1,0.05,3.73144169728853e-05,1.00000020328791e-13,3.73178544321193e-05,3.73166169620098e-05,3.73146318179563e-05,3.73144441335745e-05,3.73144174218681e-05
0.417668660508934,2.5,1.5,0.3,2,0.4,0.258544963923387,1.00333066907388e-13,0.258662301351934,0.258558559629534,0.258546740982082,0.258545191838983,0.258544967737662
0.919072726520244,2.5,-3,0.5,2,0.4,0.202776462379078,4.12638803734444e-13,0.202771415299721,0.202775880580902,0.202776386378573,0.202776452632433,0.202776462215969
1.7539492610842,1.5,0,0.3,2,0.4,0.0085359343606188,1e-13,0.00853757510859742,0.00853612450154875,0.00853595921388226,0.00853593754816654,0.00853593441396354
1.91138885947876,2.5,4,0.5,1,0.2,7.98532324696378e-05,1.00000013552527e-13,7.98585256374829e-05,7.98549205807398e-05,7.9854485396291e-05,7.98544311251053e-05,7.98544232232098e-05
1.56044689776609,1.5,-3,0.7,0.5,0.05,0.00212712875860462,1e-13,0.00212731183516249,0.00212724593628252,0.00212714020309443,0.00212713020542765,0.00212712878251836
1.53982054676162,1.5,-0.2,0.7,1,0.4,0.0297494312885633,1.00006938893904e-13,0.0297589954656928,0.0297505395750794,0.029749576151205,0.0297494498678182,0.0297494315994436
1.62540429269429,1,1.5,0.7,2,0.2,0.000232688687857679,1.00000081315163e-13,0.000232750126703584,0.000232696119988054,0.000232689618399239,0.000232688807864114,0.000232688689854977
1.69388583528344,2.5,-0.2,0.5,0.5,0.05,0.147527199196425,1.00027755575616e-13,0.147535239017768,0.147532344659417,0.147527701679488,0.14752726272016,0.147527200246503
2.61036248855526,0.6,-3,0.3,1,0.4,4.60324884285117e-17,1e-13,4.60411335634385e-17,4.60334902360392e-17,4.60326193737406e-17,4.60325052228389e-17,4.60324887095693e-17
2.49764064528281,2.5,-3,0.5,2,0.4,0.0137391961121988,1.00010408340856e-13,0.0137412141166795,0.0137394300944363,0.0137392266977672,0.0137392000349714,0.0137391961778471
0.37877500251634,1.5,-1,0.5,0.5,0.05,1.02967016726227,1e-13,1.02973580019683,1.02971217135196,1.02967426906935,1.02967068580987,1.02967017583418
2.12588065871969,0.6,-0.2,0.3,0.5,0.05,1.25690623820408e-12,1e-13,1.25698286465707e-12,1.25695527840433e-12,1.25691102717181e-12,1.25690684362281e-12,1.256906248212e-12
2.6975903798826,1.5,0,0.7,2,0.05,0.00106752662704729,1e-13,0.00106760492506133,0.00106757673723552,0.00106753152053565,0.00106752724567988,0.00106752663727369
0.875211033574306,1,-0.2,0.3,1,0.4,0.0245157084825115,1.00003469446952e-13,0.0245209436913284,0.0245163151351791,0.0245157877773239,0.0245157186524343,0.0245157086527094
0.723195549787488,1.5,4,0.7,2,0.4,0.0147949405388039,1.00001734723476e-13,0.0147980141006897,0.0147952967612712,0.0147949871006878,0.0147949465101823,0.0147949406382704
0.0952231829171069,1,4,0.5,0.5,0.2,0.132564133553622,1.00027755575616e-13,0.132458589302136,0.132551376329729,0.132562536437133,0.132563927585453,0.132564130125619
0.430495597887784,2.5,-0.2,0.5,0.5,0.4,0.400016419819385,7.80566714095221e-13,0.400071494464561,0.400022809777652,0.400017255160943,0.400016526957748,0.400016421612393
0.325476689112838,0.6,-3,0.7,2,0.4,0.05224247037361,1e-13,0.0522618020449653,0.0522447105483452,0.052242763184542,0.0522425079279625,0.052242471002092
0.748810772038996,0.6,-1,0.3,1,0.05,0.00016788076031113,1e-13,0.000167889125508562,0.000167886113988937,0.000167881283123624,0.000167880826404867,0.000167880761403703
2.38388485794421,2.5,4,0.5,2,0.4,0.00306714033066823,1.00000433680869e-13,0.00306778288043764,0.00306721479960384,0.0030671500645687,0.00306714157908811,0.00306714035156095
1.81920811877353,0.6,1.5,0.7,2,0.2,2.69598024781435e-11,1.00000000000013e-13,2.69666604819613e-11,2.69606320594392e-11,2.69599063457964e-11,2.69598158733355e-11,2.6959802701083e-11
2.73493574726163,2.5,-3,0.5,2,0.4,0.010273761152166,1.00001734723476e-13,0.0102754064562243,0.0102739518986049,0.0102737860857302,0.0102737643500322,0.0102737612056837
1.70325243409025,1,0.5,0.3,1,0.2,0.000302417503091541,1e-13,0.000302495146357026,0.00030242689535427,0.000302418679050656,0.000302417654747997,0.000302417505615608
2.27932906904025,2.5,-0.2,0.5,0.5,0.05,0.0854982789356122,1e-13,0.0855029026477705,0.0855012381037536,0.0854985679156781,0.0854983154683853,0.0854982795395201
1.16855707885698,1.5,1.5,0.5,1,0.05,0.0269880546033501,1e-13,0.0269895589991854,0.0269890174121417,0.0269881486269342,0.0269880664897796,0.0269880547998397
1.15117888185196,2.5,0.5,0.3,1,0.2,0.113608866261485,1e-13,0.113638230116442,0.11361241843133,0.113609311127199,0.113608923748639,0.113608867348619
0.552357396506704,1,1.5,0.7,1,0.2,0.0526853526063343,1e-13,0.0526944667471785,0.0526864552373488,0.0526854906631901,0.0526853704107362,0.0526853529026548
1.38725660468917,0.6,-0.2,0.5,2,0.05,1.9398223232261e-08,1.00000000013235e-13,1.93994399927126e-08,1.93990019478642e-08,1.93982992769709e-08,1.93982328457946e-08,1.93982233911795e-08
0.812321183353197,1.5,1.5,0.3,2,0.4,0.0670293371718803,1.00013877787808e-13,0.0670433790012605,0.0670309644940946,0.0670295498796805,0.067029364452777,0.0670293376285573
1.04198455936275,2.5,-1,0.3,0.5,0.4,0.240549132375157,1.02442490654175e-13,0.240557663153661,0.240550122080579,0.240549262035114,0.240549149269353,0.240549132963606
2.67426995228743,1.5,1.5,0.7,1,0.4,0.000526927859131941,1e-13,0.000527045129617204,0.000526941448297409,0.000526929635353836,0.000526928086940531,0.000526927862944322
0.645741581532639,0.6,0,0.3,0.5,0.2,0.000925867936776979,1.00000216840435e-13,0.000926101627274266,0.000925896205103735,0.000925871476108182,0.000925868393223377,0.000925867944373774
1.75859882617369,0.6,-1,0.3,0.5,0.05,1.23106504340305e-10,1.00000000000052e-13,1.23112620268313e-10,1.23110418496468e-10,1.23106886576207e-10,1.23106552662408e-10,1.23106505139105e-10
0.662514488189481,2.5,-1,0.7,0.5,0.2,0.547321421510212,1.00111022302463e-13,0.547430020303372,0.547334567722681,0.547323067624196,0.547321633802023,0.547321425043429
0.880332937440835,0.6,0.5,0.3,1,0.05,2.67890068243572e-05,1.00000003388132e-13,2.67907744740258e-05,2.67901381028845e-05,2.6789117298072e-05,2.67890207903846e-05,2.67890070552243e-05
2.36952955204761,1,0.5,0.7,1,0.05,1.02540130147489e-05,1e-13,1.02546700397025e-05,1.02544335047759e-05,1.0254054077297e-05,1.02540182058549e-05,1.0254013100561e-05
0.560407080559526,1,4,0.5,1,0.4,0.00260867045134777,1e-13,0.00260905273565574,0.00260871477934466,0.00260867624670697,0.00260867119552022,0.00260867046479892
1.73370517872972,2.5,-1,0.7,1,0.4,0.132786311050841,1.00277555756156e-13,0.132841862918882,0.13279275139175,0.132787152787268,0.132786418889052,0.132786312721365
1.28688474163646,1,-1,0.5,0.5,0.4,0.0041234325300624,1e-13,0.00412442044989203,0.00412354700988673,0.00412344749358173,0.00412343444920236,0.00412343256218003
0.83948538718978,1.5,0.5,0.3,2,0.2,0.0872808587724389,1e-13,0.0872944327960959,0.087282501109254,0.0872810644065147,0.0872808852920989,0.087280859214012
0.191037853329908,1.5,0.5,0.3,0.5,0.05,0.996511732714046,1e-13,0.996653075431722,0.996602188919261,0.996520565836832,0.99651284938938,0.996511751173357
0.355304509098642,0.6,-1,0.3,1,0.05,0.047120735252214,1e-13,0.0471228670404367,0.0471220995888469,0.0471208684869866,0.0471207520957063,0.0471207355306476
0.976392794214189,1.5,-1,0.3,0.5,0.05,0.118181531901868,1e-13,0.118182810831167,0.118182350500201,0.118181611856208,0.118181542009836,0.118181532068965
2.41189113350119,0.6,0,0.7,0.5,0.4,2.31458056888573e-14,1e-13,2.31518387744981e-14,2.31465047502749e-14,2.31458970615781e-14,2.3145817407817e-14,2.31458058849767e-14
0.726507851493079,0.6,0.5,0.7,2,0.05,0.000171077955329559,1e-13,0.000171089424852162,0.000171085295720411,0.000171078672148372,0.000171078045949423,0.000171077956827563
