set,method,us_per_trial,rel_diff
25,hddm-wfpt err=1e-4,4917.1428,5.207e-04
26,ours 1e-12 (density + 7 grads),9.7644,0.000e+00
26,ours 1e-8,8.9747,2.975e-11
26,hddm-wfpt err=1e-8,2730.1910,1.110e-05
26,hddm-wfpt err=1e-4,2675.3976,1.110e-05
27,ours 1e-12 (density + 7 grads),11.5838,0.000e+00
27,ours 1e-8,10.2801,8.725e-12
27,hddm-wfpt err=1e-8,175.2416,1.320e-05
27,hddm-wfpt err=1e-4,164.1893,1.320e-05
28,ours 1e-12 (density + 7 grads),10.9411,0.000e+00
28,ours 1e-8,9.7382,2.515e-11
28,hddm-wfpt err=1e-8,488.6347,3.548e-07
28,hddm-wfpt err=1e-4,464.5174,3.652e-07
29,ours 1e-12 (density + 7 grads),9.4286,0.000e+00
29,ours 1e-8,8.6643,4.033e-13
29,hddm-wfpt err=1e-8,508.9670,1.957e-07
29,hddm-wfpt err=1e-4,483.0992,1.971e-07
30,ours 1e-12 (density + 7 grads),8.8225,0.000e+00
30,ours 1e-8,8.1041,5.085e-14
30,hddm-wfpt err=1e-8,180.9888,5.532e-08
30,hddm-wfpt err=1e-4,170.5115,1.175e-07
31,ours 1e-12 (density + 7 grads),10.8046,0.000e+00
31,ours 1e-8,9.7301,7.535e-12
31,hddm-wfpt err=1e-8,1810.0593,1.539e-07
31,hddm-wfpt err=1e-4,1722.2353,1.539e-07
32,ours 1e-12 (density + 7 grads),10.0178,0.000e+00
32,ours 1e-8,8.9799,2.100e-11
32,hddm-wfpt err=1e-8,152.9091,2.943e-07
32,hddm-wfpt err=1e-4,144.5410,2.943e-07
33,ours 1e-12 (density + 7 grads),10.0841,0.000e+00
33,ours 1e-8,9.0650,1.389e-11
33,hddm-wfpt err=1e-8,144.6749,2.206e-07
33,hddm-wfpt err=1e-4,134.7151,2.170e-07
34,ours 1e-12 (density + 7 grads),10.2649,0.000e+00
34,ours 1e-8,9.5193,5.159e-13
34,hddm-wfpt err=1e-8,1129.2078,1.363e-07
34,hddm-wfpt err=1e-4,1084.1013,1.363e-07
35,ours 1e-12 (density + 7 grads),8.5081,0.000e+00
35,ours 1e-8,7.8545,2.517e-12
35,hddm-wfpt err=1e-8,1198.9551,2.131e-08
35,hddm-wfpt err=1e-4,1161.8078,2.608e-08
36,ours 1e-12 (density + 7 grads),10.7832,0.000e+00
36,ours 1e-8,10.0135,3.747e-11
36,hddm-wfpt err=1e-8,1915.4651,2.011e-05
36,hddm-wfpt err=1e-4,1835.3815,2.011e-05
37,ours 1e-12 (density + 7 grads),9.8035,0.000e+00
37,ours 1e-8,8.9032,7.186e-12
37,hddm-wfpt err=1e-8,860.8510,2.713e-07
37,hddm-wfpt err=1e-4,813.5029,2.728e-07
38,ours 1e-12 (density + 7 grads),10.6515,0.000e+00
38,ours 1e-8,9.6089,2.659e-11
38,hddm-wfpt err=1e-8,2440.8412,1.578e-06
38,hddm-wfpt err=1e-4,2310.1799,1.578e-06
39,ours 1e-12 (density + 7 grads),10.6168,0.000e+00
39,ours 1e-8,9.5437,1.679e-12
39,hddm-wfpt err=1e-8,5766.1366,2.310e-07
39,hddm-wfpt err=1e-4,5472.7444,2.292e-07
40,ours 1e-12 (density + 7 grads),8.7251,0.000e+00
40,ours 1e-8,8.0327,1.554e-15
40,hddm-wfpt err=1e-8,384.6429,2.348e-07
40,hddm-wfpt err=1e-4,367.7365,2.348e-07
41,ours 1e-12 (density + 7 grads),10.6491,0.000e+00
41,ours 1e-8,9.5771,1.500e-11
41,hddm-wfpt err=1e-8,545.9948,1.072e-07
41,hddm-wfpt err=1e-4,521.1522,1.072e-07
42,ours 1e-12 (density + 7 grads),9.7455,0.000e+00
42,ours 1e-8,8.8815,2.783e-13
42,hddm-wfpt err=1e-8,1796.7084,6.091e-08
42,hddm-wfpt err=1e-4,1709.2378,6.091e-08
43,ours 1e-12 (density + 7 grads),11.6558,0.000e+00
43,ours 1e-8,10.3447,8.355e-12
43,hddm-wfpt err=1e-8,960.5481,5.414e-08
43,hddm-wfpt err=1e-4,916.7867,5.414e-08
44,ours 1e-12 (density + 7 grads),9.8550,0.000e+00
44,ours 1e-8,8.9793,3.997e-15
44,hddm-wfpt err=1e-8,1068.6783,8.230e-08
44,hddm-wfpt err=1e-4,1024.2576,8.377e-08
45,ours 1e-12 (density + 7 grads),10.9941,0.000e+00
45,ours 1e-8,9.7925,9.717e-12
45,hddm-wfpt err=1e-8,52.9056,7.048e-08
45,hddm-wfpt err=1e-4,49.5862,8.720e-08
46,ours 1e-12 (density + 7 grads),10.3145,0.000e+00
46,ours 1e-8,9.3851,2.941e-12
46,hddm-wfpt err=1e-8,4056.7000,5.447e-07
46,hddm-wfpt err=1e-4,3928.1647,5.447e-07
47,ours 1e-12 (density + 7 grads),11.0231,0.000e+00
47,ours 1e-8,9.7492,9.273e-12
47,hddm-wfpt err=1e-8,176.3716,9.976e-08
47,hddm-wfpt err=1e-4,164.8270,9.976e-08
48,ours 1e-12 (density + 7 grads),11.4082,0.000e+00
48,ours 1e-8,10.1169,6.399e-12
48,hddm-wfpt err=1e-8,1050.1666,4.079e-07
48,hddm-wfpt err=1e-4,988.2338,6.829e-08
49,ours 1e-12 (density + 7 grads),11.2231,0.000e+00
49,ours 1e-8,10.0050,1.513e-11
49,hddm-wfpt err=1e-8,419.1191,2.611e-06
49,hddm-wfpt err=1e-4,396.2384,2.611e-06
50,ours 1e-12 (density + 7 grads),10.5460,0.000e+00
50,ours 1e-8,9.4911,9.308e-12
50,hddm-wfpt err=1e-8,1090.5453,1.674e-06
50,hddm-wfpt err=1e-4,1041.3752,1.674e-06
51,ours 1e-12 (density + 7 grads),9.9847,0.000e+00
51,ours 1e-8,8.9849,8.086e-13
51,hddm-wfpt err=1e-8,81.3759,2.422e-07
51,hddm-wfpt err=1e-4,77.0459,2.422e-07
52,ours 1e-12 (density + 7 grads),10.0974,0.000e+00
52,ours 1e-8,9.1006,5.700e-13
52,hddm-wfpt err=1e-8,18.1204,6.849e-08
52,hddm-wfpt err=1e-4,17.0609,6.849e-08
53,ours 1e-12 (density + 7 grads),9.8669,0.000e+00
53,ours 1e-8,8.9229,3.070e-11
53,hddm-wfpt err=1e-8,483.6958,1.439e-07
53,hddm-wfpt err=1e-4,457.3954,1.493e-07
54,ours 1e-12 (density + 7 grads),9.2990,0.000e+00
54,ours 1e-8,8.5593,9.570e-14
54,hddm-wfpt err=1e-8,1412.0099,2.233e-06
54,hddm-wfpt err=1e-4,1366.5636,2.233e-06
55,ours 1e-12 (density + 7 grads),11.0107,0.000e+00
55,ours 1e-8,9.8549,7.401e-11
55,hddm-wfpt err=1e-8,1246.5711,2.006e-08
55,hddm-wfpt err=1e-4,1215.4656,1.969e-08
56,ours 1e-12 (density + 7 grads),10.5130,0.000e+00
56,ours 1e-8,9.3942,4.741e-11
56,hddm-wfpt err=1e-8,294.4283,1.464e-06
56,hddm-wfpt err=1e-4,278.4904,1.464e-06
57,ours 1e-12 (density + 7 grads),9.9128,0.000e+00
57,ours 1e-8,9.0526,2.640e-11
57,hddm-wfpt err=1e-8,4375.8689,9.299e-08
57,hddm-wfpt err=1e-4,4245.5276,9.882e-08
58,ours 1e-12 (density + 7 grads),11.2731,0.000e+00
58,ours 1e-8,10.0047,2.543e-11
58,hddm-wfpt err=1e-8,1793.8573,4.363e-05
58,hddm-wfpt err=1e-4,1729.0449,4.363e-05
59,ours 1e-12 (density + 7 grads),10.5611,0.000e+00
59,ours 1e-8,9.5280,1.297e-11
59,hddm-wfpt err=1e-8,1325.8268,5.632e-07
59,hddm-wfpt err=1e-4,1253.8575,5.632e-07
60,ours 1e-12 (density + 7 grads),10.3050,0.000e+00
60,ours 1e-8,9.5170,3.446e-11
60,hddm-wfpt err=1e-8,1746.0149,1.580e-06
60,hddm-wfpt err=1e-4,1681.0266,1.580e-06
61,ours 1e-12 (density + 7 grads),11.1497,0.000e+00
61,ours 1e-8,9.9042,3.779e-12
61,hddm-wfpt err=1e-8,380.1870,3.645e-07
61,hddm-wfpt err=1e-4,360.4094,3.630e-07
62,ours 1e-12 (density + 7 grads),10.6251,0.000e+00
62,ours 1e-8,9.5948,5.423e-11
62,hddm-wfpt err=1e-8,1610.6469,2.828e-07
62,hddm-wfpt err=1e-4,1560.7055,2.828e-07
63,ours 1e-12 (density + 7 grads),9.6557,0.000e+00
63,ours 1e-8,8.7803,6.412e-13
63,hddm-wfpt err=1e-8,604.6135,4.370e-07
63,hddm-wfpt err=1e-4,574.6109,4.370e-07
64,ours 1e-12 (density + 7 grads),10.0964,0.000e+00
64,ours 1e-8,9.1484,9.690e-13
64,hddm-wfpt err=1e-8,313.0163,2.377e-07
64,hddm-wfpt err=1e-4,291.4974,2.377e-07
65,ours 1e-12 (density + 7 grads),11.1445,0.000e+00
65,ours 1e-8,10.0894,8.459e-12
65,hddm-wfpt err=1e-8,782.2631,1.662e-07
65,hddm-wfpt err=1e-4,747.7239,1.662e-07
66,ours 1e-12 (density + 7 grads),11.1153,0.000e+00
66,ours 1e-8,9.9105,8.118e-12
66,hddm-wfpt err=1e-8,955.6209,6.621e-08
66,hddm-wfpt err=1e-4,897.8860,6.021e-08
67,ours 1e-12 (density + 7 grads),9.9474,0.000e+00
67,ours 1e-8,9.0430,1.403e-12
67,hddm-wfpt err=1e-8,1341.5423,2.138e-05
67,hddm-wfpt err=1e-4,1283.8476,2.138e-05
68,ours 1e-12 (density + 7 grads),9.0654,0.000e+00
68,ours 1e-8,8.3065,5.127e-12
68,hddm-wfpt err=1e-8,2990.0109,8.941e-07
68,hddm-wfpt err=1e-4,2913.5607,8.941e-07
69,ours 1e-12 (density + 7 grads),7.5072,0.000e+00
69,ours 1e-8,7.0125,1.633e-11
69,hddm-wfpt err=1e-8,3736.6516,3.310e-09
69,hddm-wfpt err=1e-4,3725.1186,4.843e-07
70,ours 1e-12 (density + 7 grads),11.3257,0.000e+00
70,ours 1e-8,10.0461,8.527e-12
70,hddm-wfpt err=1e-8,214.6951,9.171e-08
70,hddm-wfpt err=1e-4,202.7164,9.171e-08
71,ours 1e-12 (density + 7 grads),10.8154,0.000e+00
71,ours 1e-8,9.7725,7.293e-12
71,hddm-wfpt err=1e-8,661.0281,3.692e-07
71,hddm-wfpt err=1e-4,623.3616,2.587e-07
72,ours 1e-12 (density + 7 grads),9.3859,0.000e+00
72,ours 1e-8,8.4875,5.103e-12
72,hddm-wfpt err=1e-8,402.2837,3.669e-07
72,hddm-wfpt err=1e-4,386.0532,3.691e-07
73,ours 1e-12 (density + 7 grads),11.1601,0.000e+00
73,ours 1e-8,9.9237,1.938e-11
73,hddm-wfpt err=1e-8,421.5991,2.179e-06
73,hddm-wfpt err=1e-4,401.2541,2.179e-06
74,ours 1e-12 (density + 7 grads),10.4069,0.000e+00
74,ours 1e-8,9.3342,3.877e-11
